symbol,bucket
ABB.NSE,large
ADANIENSOL.NSE,large
ADANIENT.NSE,large
ADANIGREEN.NSE,large
ADANIPORTS.NSE,large
ADANIPOWER.NSE,large
AMBUJACEM.NSE,large
APOLLOHOSP.NSE,large
ASIANPAINT.NSE,large
DMART.NSE,large
AXISBANK.NSE,large
BAJAJ-AUTO.NSE,large
BAJFINANCE.NSE,large
BAJAJFINSV.NSE,large
BAJAJHLDNG.NSE,large
BANKBARODA.NSE,large
BEL.NSE,large
BPCL.NSE,large
BHARTIARTL.NSE,large
BOSCHLTD.NSE,large
BRITANNIA.NSE,large
CGPOWER.NSE,large
CANBK.NSE,large
CHOLAFIN.NSE,large
CIPLA.NSE,large
COALINDIA.NSE,large
CUMMINSIND.NSE,large
DLF.NSE,large
DIVISLAB.NSE,large
DRREDDY.NSE,large
EICHERMOT.NSE,large
ETERNAL.NSE,large
GAIL.NSE,large
GODREJCP.NSE,large
GRASIM.NSE,large
HCLTECH.NSE,large
HDFCAMC.NSE,large
HDFCBANK.NSE,large
HDFCLIFE.NSE,large
HINDALCO.NSE,large
HAL.NSE,large
HINDUNILVR.NSE,large
HINDZINC.NSE,large
HYUNDAI.NSE,large
ICICIBANK.NSE,large
ITC.NSE,large
INDHOTEL.NSE,large
IOC.NSE,large
IRFC.NSE,large
INFY.NSE,large
INDIGO.NSE,large
JSWSTEEL.NSE,large
JINDALSTEL.NSE,large
JIOFIN.NSE,large
KOTAKBANK.NSE,large
LTM.NSE,large
LT.NSE,large
LODHA.NSE,large
M&M.NSE,large
MARUTI.NSE,large
MAXHEALTH.NSE,large
MAZDOCK.NSE,large
MUTHOOTFIN.NSE,large
NTPC.NSE,large
NESTLEIND.NSE,large
ONGC.NSE,large
PIDILITIND.NSE,large
PFC.NSE,large
POWERGRID.NSE,large
PNB.NSE,large
RECLTD.NSE,large
RELIANCE.NSE,large
SBILIFE.NSE,large
MOTHERSON.NSE,large
SHREECEM.NSE,large
SHRIRAMFIN.NSE,large
ENRIN.NSE,large
SIEMENS.NSE,large
SOLARINDS.NSE,large
SBIN.NSE,large
SUNPHARMA.NSE,large
TVSMOTOR.NSE,large
TATACAP.NSE,large
TCS.NSE,large
TATACONSUM.NSE,large
TMCV.NSE,large
TMPV.NSE,large
TATAPOWER.NSE,large
TATASTEEL.NSE,large
TECHM.NSE,large
TITAN.NSE,large
TORNTPHARM.NSE,large
TRENT.NSE,large
ULTRACEMCO.NSE,large
UNIONBANK.NSE,large
UNITDSPR.NSE,large
